id,score_phrase,title,platform,score,genre,editors_choice,release_year,release_month,release_day
230,Amazing,Call of Duty: Black Ops II,Xbox 360,9.3,Shooter,Y,2012,11,13
231,Amazing,Call of Duty: Black Ops II,PlayStation 3,9.3,Shooter,Y,2012,11,13
232,Okay,When Vikings Attack,PlayStation 3,6.5,"Fighting, Action",N,2012,11,9
233,Okay,When Vikings Attack,PlayStation Vita,6.5,"Fighting, Action",N,2012,11,9
234,Mediocre,"Freakyforms Deluxe: Your Creations, Alive!",Nintendo 3DS,5.0,Productivity,N,2012,11,8
235,Mediocre,Painkiller: Hell & Damnation,PC,5.0,Shooter,N,2012,11,7
236,Great,Transformers Prime,Nintendo 3DS,8.0,Action,N,2012,11,7
237,Great,Angry Birds Star Wars,iPhone,8.8,Puzzle,N,2012,11,7
238,Good,Farming Simulator 2013,PC,7.1,Simulation,N,2012,11,7
239,Great,Paper Mario: Sticker Star,Nintendo 3DS,8.3,RPG,N,2012,11,6
240,Okay,Lucius,PC,6.0,Adventure,N,2012,11,6
241,Mediocre,LittleBigPlanet Karting,PlayStation 3,5.0,Racing,N,2012,11,6
242,Good,Primal Carnage,PC,7.6,Shooter,N,2012,11,5
243,Great,Natural Selection 2,PC,8.0,Shooter,N,2012,11,5
244,Okay,Symphonica: Grand Maestro,iPhone,6.0,Music,N,2012,11,5
245,Amazing,Football Manager 2013,Macintosh,9.0,"Sports, Simulation",Y,2012,11,3
246,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,PC,9.5,Adventure,Y,2012,11,19
247,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,iPad,9.5,Adventure,Y,2012,11,19
248,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,Macintosh,9.5,Adventure,Y,2012,11,19
249,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,PlayStation 3,9.5,Adventure,Y,2012,11,19
250,Amazing,Football Manager 2013,PC,9.0,"Sports, Simulation",Y,2012,11,3
251,Good,Need for Speed Most Wanted,PlayStation Vita,7.4,"Racing, Action",N,2012,11,2
252,Bad,Orgarhythm,PlayStation Vita,4.7,"Music, Action",N,2012,11,2
253,Good,Sports Champions 2,PlayStation 3,7.6,"Sports, Action",N,2012,11,2
254,Great,Kinect Party,Xbox 360,8.5,Party,N,2012,12,20
255,Good,Sky Gamblers: Storm Raiders,iPhone,7.1,Action,N,2012,12,19
256,Good,Oddworld: Stranger's Wrath HD,PlayStation Vita,7.5,"Action, Adventure",N,2012,12,19
257,Good,AirBuccaneers,PC,7.5,Action,N,2012,12,19
258,Great,Theatrhythm Final Fantasy,iPhone,8.0,"Music, Action",N,2012,12,19
259,Okay,Sing Party,Wii U,6.3,Music,N,2012,12,18
260,Okay,Beatdown!,iPhone,6.3,"Fighting, Action",N,2012,11,19
261,Okay,Waking Mars,PC,6.5,Action,N,2012,11,19
262,Okay,Waking Mars,iPhone,6.5,Action,N,2012,11,19
263,Amazing,Hitman: Absolution,PlayStation 3,9.0,Action,Y,2012,11,18
264,Amazing,Hitman: Absolution,Xbox 360,9.0,Action,Y,2012,11,18
265,Okay,ZombiU,Wii U,6.3,Shooter,N,2012,11,18
266,Good,Grand Theft Auto: Vice City,iPhone,7.7,"Action, Adventure",N,2012,12,18
267,Good,Street Fighter X Mega Man,PC,7.0,Action,N,2012,12,18
268,Good,Sonic & All-Stars Racing Transformed,PlayStation Vita,7.0,"Racing, Action",N,2012,12,17
269,Good,Sonic & All-Stars Racing Transformed,Nintendo 3DS,7.0,"Racing, Action",N,2012,12,17
270,Good,The Sims 3: Seasons,PC,7.5,Simulation,N,2012,12,17
271,Mediocre,Tank! Tank! Tank!,Wii U,5.8,Action,N,2012,12,14
272,Good,Guardians of Middle-earth,Xbox 360,7.5,Battle,N,2012,12,14
273,Okay,Ratchet & Clank: Full Frontal Assault,PlayStation 3,6.4,Action,N,2012,12,14
274,Bad,Page Chronica,PlayStation 3,4.1,Puzzle,N,2012,12,14
275,Amazing,Hitman: Absolution,PC,9.0,Action,Y,2012,11,18
276,Amazing,Batman: Arkham City -- Armored Edition,Wii U,9.5,Action,Y,2012,11,17
277,Okay,Disney Epic Mickey 2: The Power of Two,PlayStation 3,6.0,"Action, Adventure",N,2012,11,17
278,Okay,Disney Epic Mickey 2: The Power of Two,Xbox 360,6.0,"Action, Adventure",N,2012,11,17
279,Good,Darksiders II,Wii U,7.5,Action,N,2012,11,17
280,Great,Scribblenauts Unlimited,Wii U,8.8,"Puzzle, Action",Y,2012,11,16
281,Bad,Call of Duty: Black Ops Declassified,PlayStation Vita,4.0,Shooter,N,2012,11,16
282,Good,Fallen Enchantress,PC,7.9,Strategy,N,2012,11,16
283,Good,Guns of Icarus Online,PC,7.3,Shooter,N,2012,11,16
284,Mediocre,Miner Wars 2081,PC,5.0,Shooter,N,2012,12,14
285,Good,Guardians of Middle-earth,PlayStation 3,7.5,Battle,N,2012,12,14
286,Great,The Elder Scrolls V: Skyrim -- Dragonborn,Xbox 360,8.8,RPG,N,2012,12,13
287,Okay,Baldur's Gate -- Enhanced Edition,iPad,6.0,RPG,N,2012,12,13
288,Okay,Black Knight Sword,Xbox 360,6.9,"Puzzle, Adventure",N,2012,12,13
289,Okay,Black Knight Sword,PlayStation 3,6.9,"Puzzle, Adventure",N,2012,12,13
290,Amazing,The Walking Dead: A Telltale Game Series -- Season One,Xbox 360,9.3,Adventure,Y,2012,12,12
291,Great,Sonic & All-Stars Racing Transformed,Xbox 360,8.6,"Racing, Action",N,2012,11,15
292,Amazing,New Super Mario Bros. U,Wii U,9.1,Platformer,Y,2012,11,15
293,Great,Sonic & All-Stars Racing Transformed,PlayStation 3,8.6,"Racing, Action",N,2012,11,15
294,Great,Nintendo Land,Wii U,8.7,Party,Y,2012,11,15
295,Good,ARC Squadron,iPhone,7.3,"Flight, Action",N,2012,11,13
296,Good,Ninja Gaiden III: Razor's Edge,Wii U,7.6,Action,N,2012,11,13
297,Amazing,The Walking Dead: A Telltale Game Series -- Season One,PlayStation 3,9.3,Adventure,Y,2012,12,12
298,Amazing,The Walking Dead -- Game of the Year Edition,PC,9.3,Adventure,Y,2012,12,12
299,Amazing,The Walking Dead: A Telltale Game Series -- Season One,iPhone,9.3,Adventure,Y,2012,12,12
300,Good,Real Boxing,iPhone,7.6,Sports,N,2012,11,30
301,Great,Baldur's Gate -- Enhanced Edition,PC,8.1,RPG,N,2012,11,30
302,Amazing,Crashmo,Nintendo 3DS,9.5,"Puzzle, Action",Y,2012,11,30
303,Amazing,PlanetSide 2,PC,9.0,Shooter,Y,2012,11,30
304,Okay,Disney Epic Mickey 2: The Power of Two,Wii U,6.0,"Action, Adventure",N,2012,11,29
305,Amazing,The Walking Dead: A Telltale Game Series -- Season One,PC,9.3,Adventure,Y,2012,12,12
306,Amazing,The Walking Dead: A Telltale Game Series -- Season One,Macintosh,9.3,Adventure,Y,2012,12,12
307,Good,Strike Suit Zero,PC,7.5,Shooter,N,2013,1,22
308,Painful,Final Fantasy: All The Bravest,iPhone,2.5,RPG,N,2013,1,18
309,Good,Tokyo Crash Mobs,Nintendo 3DS,7.7,"Puzzle, Action",N,2013,1,18
310,Amazing,Ni no Kuni: Wrath of the White Witch,PlayStation 3,9.4,RPG,Y,2013,1,15
311,Mediocre,Marvel's The Avengers: Battle For Earth,Wii U,5.0,Action,N,2013,1,15
312,Okay,Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox 360,6.9,"Shooter, RPG",N,2013,1,15
313,Great,Assassin's Creed III,PC,8.6,"Action, Adventure",Y,2012,11,23
314,Okay,Chasing Aurora,Wii U,6.0,Action,N,2012,11,22
315,Great,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Nintendo 3DS,8.5,Adventure,Y,2012,11,22
316,Great,Madden NFL 13,Wii,8.3,Sports,N,2012,11,21
317,Good,Warriors Orochi 3 Hyper,Wii U,7.0,Action,N,2012,11,29
318,Good,Transformers Prime,Wii U,7.8,Action,N,2012,11,28
319,Okay,Skylanders Battlegrounds,iPhone,6.6,Action,N,2012,11,28
320,Good,Rage of the Gladiator,iPhone,7.6,Action,N,2012,11,28
321,Okay,FIFA Soccer 13,Wii U,6.0,Sports,N,2012,11,27
